id,country,area,well_name,field,block,state,latitude,longitude,northing,easting,northingWGS84,eastingWGS84,well_type,location,total_depth,result,rt_elevation,water_depth,ss_wellhead,platform,slot,spheroid,epsg_code,drilling_contractor_id,license_id,operator_id,region_id,rig_id,onhire_date,release_date,spud_date,total_days
-2123868283,India,"Mumbai Offshore",SM-1-2,NULL,MB-OSN-97/2,Maharashtra,18.8116166666667,70.23495,2080435.7363359341,630131.9589047465,2080435.736,630131.959,Exploration,Offshore,3985,"Dry Hole P&A",12,139.8,1,NULL,NULL,NULL,NULL,17,1037355541,63,153800183,78,NULL,NULL,"2005-01-08 15:07:00.000000",NULL
-2008042854,Israel,Israel,"Gaza 1",NULL,NULL,Onshore,31.5210772222222,34.4322430555556,3488241.44,635987.938,3488241.44,635987.938,Exploration,Land,2170,"Dry Hole P&A",4.3,-14.2,0,NULL,NULL,WGS-84,NULL,NULL,NULL,44,1909380744,NULL,NULL,NULL,"1971-06-24 12:00:00.000000",31
-1790772307,Egypt,Egypt,"Sapphire 2",NULL,WDDM,NULL,0,0,0,-3393618.636,0,-3393618.636,Appraisal,Offshore,0,Gas,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,71,1909380744,NULL,NULL,NULL,"2002-08-19 12:00:00.000000",NULL
-1553612959,Bangladesh,Bangladesh,"Titas 4",NULL,"Block 12",Onshore,23.9958333333333,91.1177777777778,2654824.557,308554.518,2655044.52925695,308527.78376455,NULL,Offshore,0,Gas,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,65,-61727124,NULL,NULL,NULL,NULL,NULL
-1434260589,India,NEC-25,NEC-2,NULL,NEC-OSN-97/2,Orissa,20.2823611111111,87.4255777777778,2242785.0996322087,544438.0558273499,2242785.1,544438.056,Exploration,Offshore,3101.8,"Dry Hole P&A",29.4,83.5,0,NULL,NULL,NULL,NULL,NULL,-975739785,61,-46540562,NULL,NULL,NULL,"1985-09-08 12:00:00.000000",117
-1258766061,Israel,Israel,"Shiqma 1",NULL,NULL,Onshore,31.5953325,34.4923452777778,3496548.946,641582.84,3496548.946,641582.84,Exploration,Land,2020,Gas,4.1,-4.1,0,NULL,NULL,WGS-84,NULL,NULL,NULL,60,1909380744,NULL,NULL,NULL,"1978-11-05 12:00:00.000000",36
-1219058881,India,"Mumbai Offshore",MD-1,NULL,MB-OSN-97/3,Maharashtra,18.0960013888889,71.3712775,2002419.966326817,750951.5971142371,2002420.475,750951.677,Exploration,Offshore,4544,"Dry Hole P&A",30.5,85,0,NULL,NULL,NULL,NULL,11,1502652263,63,153800183,26,NULL,NULL,"1996-05-07 12:00:00.000000",NULL
-1157399230,Indonesia,Mahakam,"Aton 1",NULL,Rapak,Kalimantan,0.243609444444444,117.960310555556,10026930,606863,NULL,NULL,Exploration,Offshore,3799.3,"Dry Hole P&A",19.8,1094.2,0,NULL,NULL,WGS-84,NULL,64,NULL,96,248075237,114,NULL,NULL,"1999-10-15 14:30:00.000000",10
-922479546,Pakistan,Pakistan,"Khairgarh 1",NULL,"East Badin Extension Block B",Sindh,27.858875833333336,70.01789805555555,3081725.31,600201.237,3081985.497325012,600215.3798070992,Exploration,Land,1400,"Dry Hole P&A",9.2,-69,0,NULL,NULL,NULL,NULL,65,NULL,94,153800183,120,NULL,NULL,"2000-10-12 12:00:00.000000",NULL
-703346162,Bangladesh,Bangladesh,"Begumgonj 2",NULL,NULL,Onshore,23.0166666666667,91.1472222222222,2546355.376,310151.135,2546565.41501184,310124.691168441,NULL,Offshore,0,"Dry Hole P&A",0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,67,-61727124,NULL,NULL,NULL,NULL,NULL
-678248584,Bangladesh,Bangladesh,"Feni 1",NULL,"Block 15",Onshore,22.941472222222224,91.40486111111112,2537719.156,336465.301,2537928.3936265563,336442.5264834922,Exploration,Land,3200,Gas,4.3,-5.7,0,NULL,NULL,NULL,NULL,NULL,NULL,67,-61727124,NULL,NULL,"1981-08-26 12:00:00.000000","1980-06-17 12:00:00.000000",NULL
-671539721,Bangladesh,Bangladesh,"Reju 1",NULL,"Block 17","Bay of Bengal",21.4035225,91.5211861111111,2367335.787,346734.189,2367529.65964423,346712.926148129,Exploration,Offshore,4450,"Dry Hole P&A",32.9,16.5,0,NULL,NULL,NULL,NULL,33,NULL,10,-61727124,64,"1999-11-29 12:00:00.000000","2000-02-01 12:00:00.000000","1999-12-01 12:00:00.000000",62
-639251859,Pakistan,Pakistan,"Suri 1",NULL,"East Badin Extension Block B",Sindh,27.8610755555556,70.0284277777778,1126315.187,2352427.554,3082237.84148108,601250.083800159,Exploration,Land,1249,Gas,6.8,-79.2,0,NULL,NULL,NULL,NULL,18,NULL,94,153800183,40,NULL,NULL,"1997-09-20 12:00:00.000000",NULL
-469836706,Pakistan,Pakistan,"Dhodak 7",Dhodak,"Safed Koh",Punjab,30.9378194444444,70.38575,3423240,632365,NULL,NULL,Development,Land,2503,NULL,8,-642.1,0,NULL,NULL,"Everest 1830",NULL,43,NULL,59,153800183,69,NULL,NULL,"1989-07-01 12:00:00.000000",104
-469836699,India,"KG Basin",GS-2-1A,NULL,NULL,"Bay of Bengal",16.3436944444444,82.1967777777778,1807329.273,627831.837,1807329.273,627831.837,Exploration,Offshore,3210,"Dry Hole P&A",14,90,0,NULL,NULL,"Everest 1830",NULL,46,NULL,63,-46540566,100,NULL,NULL,"1984-09-28 12:00:00.000000",162
-469836683,Israel,Israel,Nir-1,NULL,NULL,NULL,31.71890833333333,34.34657222222222,3510067.808,627582.738,3510067.808,627582.738,Exploration,Offshore,2745,Gas,21.6,140,1,NULL,NULL,WGS-84,NULL,6,NULL,43,1909380744,123,NULL,NULL,"2000-06-13 12:00:00.000000",NULL
